Epoch,D_loss,D_acc,G_loss
0,4.909485816955566,34.27734375,7.596067428588867
1,4.9417266845703125,34.814453125,9.550996780395508
2,5.472132682800293,28.80859375,11.112924575805664
3,4.977049827575684,34.1796875,9.90692138671875
4,4.6634602546691895,38.28125,9.78927230834961
5,4.755622863769531,34.619140625,8.305374145507812
6,4.949454307556152,35.44921875,8.44293212890625
7,4.750591278076172,33.49609375,8.388404846191406
8,5.081764221191406,35.791015625,7.308023452758789
9,4.973105430603027,33.984375,5.768703937530518
10,4.8881096839904785,34.5703125,7.474252700805664
11,4.711816787719727,35.3515625,7.940253257751465
12,4.7851409912109375,35.05859375,6.761359214782715
13,5.057614326477051,31.982421875,6.605059623718262
14,4.698901653289795,35.400390625,7.167667865753174
15,4.8160834312438965,36.376953125,6.541359901428223
16,4.619183540344238,35.44921875,6.938841819763184
17,4.788111209869385,35.83984375,6.901530742645264
18,5.00143575668335,33.642578125,7.150992393493652
19,4.850907802581787,34.130859375,6.433953285217285
20,4.765000820159912,36.328125,7.022375583648682
21,4.749770164489746,36.03515625,6.792485237121582
22,4.654638767242432,38.330078125,7.288243293762207
23,4.986512184143066,33.056640625,4.910174369812012
24,4.756401062011719,34.716796875,6.811853885650635
25,4.979928970336914,34.5703125,5.94614315032959
26,4.80682373046875,34.9609375,7.040596008300781
27,4.852728366851807,35.9375,5.3162970542907715
28,4.751204013824463,37.109375,5.296079635620117
29,4.782602310180664,35.83984375,6.36021614074707
30,4.638453006744385,37.109375,6.30795955657959
31,4.719866752624512,38.57421875,7.035444259643555
32,5.016177177429199,32.51953125,4.9918999671936035
33,4.931148052215576,34.716796875,5.991914749145508
34,4.7083740234375,37.01171875,6.660032749176025
35,4.6051788330078125,36.62109375,6.763936519622803
36,4.740602016448975,36.474609375,6.842734336853027
37,4.82665491104126,35.400390625,6.077095985412598
38,4.967586994171143,33.88671875,5.88305139541626
39,4.774852275848389,36.572265625,4.920375823974609
40,4.518894195556641,37.3046875,6.368439674377441
41,4.547475814819336,37.548828125,6.548496246337891
42,4.594606876373291,37.451171875,5.967579364776611
43,4.723605632781982,35.83984375,6.053211688995361
44,4.992711544036865,33.59375,4.9287109375
45,4.842363357543945,35.44921875,5.610419750213623
46,4.910671234130859,35.693359375,6.830487251281738
47,4.809655666351318,35.009765625,5.772857666015625
48,4.7847771644592285,35.400390625,5.614658355712891
49,4.7403693199157715,35.986328125,5.948816299438477
50,4.534957408905029,36.767578125,6.3168559074401855
51,4.554018497467041,39.0625,6.468257904052734
52,4.8084716796875,35.205078125,6.030520915985107
53,4.645767688751221,37.548828125,6.717380523681641
54,4.596635818481445,37.939453125,6.726537704467773
55,5.00166654586792,33.837890625,5.771894454956055
56,4.884056568145752,33.642578125,5.832968235015869
57,5.155218124389648,32.177734375,5.707988739013672
58,4.9221882820129395,32.373046875,5.355075836181641
59,4.631886959075928,38.671875,6.328678131103516
60,4.560489177703857,37.158203125,6.121023654937744
61,4.512872219085693,39.55078125,5.6019439697265625
62,4.546224117279053,40.13671875,5.763993263244629
63,4.656543731689453,39.111328125,4.6886067390441895
64,4.793231964111328,37.158203125,4.739018440246582
65,4.5439772605896,36.81640625,6.033344268798828
66,4.777740478515625,37.158203125,5.791924953460693
67,4.614053249359131,38.525390625,6.200448036193848
68,4.642698287963867,36.42578125,5.783496856689453
69,4.636202335357666,37.548828125,5.840097427368164
70,4.812475204467773,36.1328125,6.281500816345215
71,5.091131687164307,31.54296875,4.464751243591309
72,4.48242712020874,37.20703125,6.169297218322754
73,4.701703071594238,36.865234375,6.1456074714660645
74,4.684223175048828,36.669921875,5.720282077789307
75,4.791409492492676,35.25390625,5.8063154220581055
76,4.678365230560303,37.646484375,6.191887378692627
77,4.706387519836426,36.81640625,5.697054386138916
78,4.630174160003662,37.060546875,6.681933403015137
79,4.867455005645752,35.302734375,6.135861396789551
80,5.033578395843506,34.912109375,6.757102012634277
81,4.66217565536499,37.060546875,6.437846660614014
82,4.740347385406494,37.20703125,5.890413284301758
83,4.5233354568481445,38.76953125,6.5156402587890625
84,4.739043712615967,36.865234375,5.744430065155029
85,4.641238212585449,38.0859375,5.964618682861328
86,4.7047929763793945,36.376953125,5.797890663146973
87,5.102432727813721,32.666015625,6.139843940734863
88,4.659177780151367,38.18359375,5.844168663024902
89,4.592937469482422,36.42578125,6.027566909790039
90,4.652113437652588,37.451171875,5.652017593383789
91,4.541580677032471,36.572265625,5.8622636795043945
92,4.846857070922852,34.765625,5.75891637802124
93,4.530969619750977,39.404296875,5.4339518547058105
94,4.5881266593933105,38.427734375,6.3376569747924805
95,4.619208335876465,37.939453125,6.411956787109375
96,4.5560302734375,37.5,6.220033645629883
97,4.722897529602051,37.841796875,5.625555992126465
98,4.532825469970703,39.6484375,6.190264701843262
99,4.489869117736816,40.13671875,6.163937091827393
