Epoch,D_loss,D_acc,G_loss
0,1.955877661705017,31.34765625,0.9404310584068298
1,1.5944712162017822,35.009765625,0.7952555418014526
2,1.6745271682739258,30.029296875,0.6712946891784668
3,1.542853593826294,37.79296875,0.5893753170967102
4,1.5774623155593872,35.009765625,0.5079033374786377
5,1.474856972694397,38.720703125,0.47634977102279663
6,1.680800437927246,34.08203125,0.4639890491962433
7,1.581310510635376,29.150390625,0.4046272039413452
8,1.5476493835449219,36.279296875,0.43080252408981323
9,1.6657989025115967,30.615234375,0.37995925545692444
10,1.612894058227539,29.931640625,0.36422139406204224
11,1.517627477645874,33.251953125,0.3759170174598694
12,1.7286598682403564,29.345703125,0.3510993421077728
13,1.5369948148727417,31.591796875,0.31839868426322937
14,1.5873609781265259,26.904296875,0.30028632283210754
15,1.6406006813049316,33.10546875,0.3127193748950958
16,1.5373135805130005,33.3984375,0.32758164405822754
17,1.5869288444519043,22.216796875,0.27109667658805847
18,1.5281517505645752,30.6640625,0.2940896451473236
19,1.6775009632110596,32.958984375,0.28406181931495667
20,1.7412421703338623,29.1015625,0.30214694142341614
21,1.527632474899292,27.34375,0.2724851965904236
22,1.5556714534759521,28.857421875,0.2652394771575928
23,1.738727331161499,25.390625,0.2559194564819336
24,1.5580167770385742,28.80859375,0.263489693403244
25,1.60635507106781,27.05078125,0.24733257293701172
26,1.8213621377944946,27.83203125,0.2568660378456116
27,1.5843255519866943,30.224609375,0.2724480926990509
28,1.6170923709869385,22.0703125,0.23107025027275085
29,1.7700008153915405,22.75390625,0.2336004227399826
30,1.8341201543807983,27.099609375,0.22772181034088135
31,1.628190279006958,18.603515625,0.21470215916633606
32,1.6053001880645752,18.26171875,0.2018263041973114
33,1.5931780338287354,27.978515625,0.23934361338615417
34,1.645900845527649,18.5546875,0.20633700489997864
35,1.751214861869812,22.998046875,0.2070167064666748
36,1.815911889076233,22.265625,0.20200875401496887
37,1.6158385276794434,20.1171875,0.19326046109199524
38,1.7522478103637695,14.55078125,0.18376430869102478
39,1.7478386163711548,26.953125,0.192298024892807
40,1.729081153869629,20.99609375,0.1858872026205063
41,1.5962376594543457,29.541015625,0.22907131910324097
42,1.7074235677719116,16.064453125,0.19904258847236633
43,1.7372655868530273,14.453125,0.18305286765098572
44,1.879194974899292,20.5078125,0.1919042021036148
45,1.6477936506271362,19.384765625,0.18126901984214783
46,1.7711800336837769,20.166015625,0.16592192649841309
47,1.6296758651733398,25.0,0.1849876493215561
48,1.6277108192443848,23.291015625,0.18364059925079346
49,1.9266897439956665,23.388671875,0.18258845806121826
50,1.7549335956573486,16.30859375,0.16264007985591888
51,1.6671934127807617,14.6484375,0.16539466381072998
52,1.6899206638336182,20.8984375,0.16114337742328644
53,1.7872896194458008,16.845703125,0.16641493141651154
54,1.6607539653778076,14.16015625,0.15975047647953033
55,1.8684167861938477,17.08984375,0.16315500438213348
56,1.7917609214782715,15.4296875,0.15297061204910278
57,1.696365237236023,16.2109375,0.15734274685382843
58,1.799541711807251,23.291015625,0.1541423797607422
59,1.6846232414245605,18.994140625,0.16181465983390808
60,1.9357473850250244,21.923828125,0.16136178374290466
61,1.6664648056030273,15.576171875,0.15440398454666138
62,1.7274901866912842,19.384765625,0.1514240801334381
63,1.6289677619934082,20.3125,0.1700504571199417
64,1.8031017780303955,13.37890625,0.1477842926979065
65,1.8244609832763672,18.65234375,0.14143480360507965
66,1.731255054473877,11.474609375,0.1370847225189209
67,1.8187696933746338,17.96875,0.14545828104019165
68,1.6755776405334473,13.96484375,0.15306442975997925
69,1.6378145217895508,19.189453125,0.14862199127674103
70,1.6490235328674316,22.021484375,0.1471485197544098
71,1.704391360282898,16.9921875,0.13647238910198212
72,1.791446328163147,12.548828125,0.13131092488765717
73,1.651435136795044,16.845703125,0.1464773565530777
74,1.7475950717926025,11.81640625,0.1305113434791565
75,1.7361005544662476,12.548828125,0.13174842298030853
76,1.8346927165985107,18.505859375,0.13106119632720947
77,1.9403581619262695,19.580078125,0.14309242367744446
78,1.6737614870071411,18.75,0.14549577236175537
79,1.937756061553955,20.01953125,0.14214803278446198
80,1.7839325666427612,11.669921875,0.12327458709478378
81,1.7210537195205688,11.03515625,0.1245066374540329
82,1.691450834274292,17.919921875,0.146093487739563
83,1.7111849784851074,16.845703125,0.1271522045135498
84,1.9545875787734985,22.119140625,0.1554713249206543
85,1.7328277826309204,18.701171875,0.13339698314666748
86,1.7689661979675293,13.623046875,0.1284879595041275
87,1.6939611434936523,19.82421875,0.12449536472558975
88,1.9943116903305054,21.19140625,0.13680553436279297
89,1.771111011505127,12.98828125,0.12117177248001099
90,1.9815330505371094,16.6015625,0.12064672261476517
91,1.9247997999191284,16.89453125,0.14381617307662964
92,1.7771649360656738,12.646484375,0.12055407464504242
93,1.8562859296798706,15.52734375,0.11921125650405884
94,1.8016273975372314,13.96484375,0.11650443077087402
95,1.7244677543640137,15.869140625,0.1188264787197113
96,1.9849538803100586,20.60546875,0.1279337853193283
97,1.7031257152557373,12.40234375,0.11299280822277069
98,1.7485475540161133,13.0859375,0.11478133499622345
99,1.8553694486618042,18.017578125,0.11677734553813934
